system:time_start,ET
"Jan 1, 2000",0.539
"Feb 1, 2000",0.377
"Mar 1, 2000",0.114
"Apr 1, 2000",0.124
"May 1, 2000",0.98
"Jun 1, 2000",2.28
"Jul 1, 2000",2.935
"Aug 1, 2000",3.196
"Sep 1, 2000",2.63
"Oct 1, 2000",1.695
"Nov 1, 2000",1.017
"Dec 1, 2000",0.613
"Jan 1, 2001",0.567
"Feb 1, 2001",0.159
"Mar 1, 2001",0.15
"Apr 1, 2001",0.186
"May 1, 2001",0.392
"Jun 1, 2001",1.868
"Jul 1, 2001",2.687
"Aug 1, 2001",3.11
"Sep 1, 2001",2.606
"Oct 1, 2001",2.071
"Nov 1, 2001",1.447
"Dec 1, 2001",0.915
"Jan 1, 2002",0.759
"Feb 1, 2002",0.398
"Mar 1, 2002",0.135
"Apr 1, 2002",0.067
"May 1, 2002",0.589
"Jun 1, 2002",1.79
"Jul 1, 2002",2.397
"Aug 1, 2002",2.968
"Sep 1, 2002",2.394
"Oct 1, 2002",1.844
"Nov 1, 2002",1.075
"Dec 1, 2002",0.659
"Jan 1, 2003",0.555
"Feb 1, 2003",0.216
"Mar 1, 2003",0.078
"Apr 1, 2003",0.084
"May 1, 2003",0.157
"Jun 1, 2003",1.226
"Jul 1, 2003",2.643
"Aug 1, 2003",3.13
"Sep 1, 2003",2.723
"Oct 1, 2003",1.857
"Nov 1, 2003",1.282
"Dec 1, 2003",0.675
"Jan 1, 2004",0.519
"Feb 1, 2004",0.224
"Mar 1, 2004",0.041
"Apr 1, 2004",0.148
"May 1, 2004",1.065
"Jun 1, 2004",1.814
"Jul 1, 2004",2.704
"Aug 1, 2004",3.134
"Sep 1, 2004",2.773
"Oct 1, 2004",2.015
"Nov 1, 2004",1.419
"Dec 1, 2004",0.835
"Jan 1, 2005",0.691
"Feb 1, 2005",0.398
"Mar 1, 2005",0.155
"Apr 1, 2005",0.162
"May 1, 2005",0.349
"Jun 1, 2005",1.536
"Jul 1, 2005",2.686
"Aug 1, 2005",3.214
"Sep 1, 2005",2.928
"Oct 1, 2005",2.102
"Nov 1, 2005",1.193
"Dec 1, 2005",0.813
"Jan 1, 2006",0.533
"Feb 1, 2006",0.217
"Mar 1, 2006",0.22
"Apr 1, 2006",0.152
"May 1, 2006",0.585
"Jun 1, 2006",1.992
"Jul 1, 2006",2.973
"Aug 1, 2006",3.184
"Sep 1, 2006",2.646
"Oct 1, 2006",2.057
"Nov 1, 2006",1.96
"Dec 1, 2006",1.044
"Jan 1, 2007",0.701
"Feb 1, 2007",0.416
"Mar 1, 2007",0.106
"Apr 1, 2007",0.219
"May 1, 2007",0.452
"Jun 1, 2007",2.295
"Jul 1, 2007",3.024
"Aug 1, 2007",3.195
"Sep 1, 2007",2.833
"Oct 1, 2007",1.9
"Nov 1, 2007",1.373
"Dec 1, 2007",0.882
"Jan 1, 2008",0.532
"Feb 1, 2008",0.344
"Mar 1, 2008",0.288
"Apr 1, 2008",0.128
"May 1, 2008",0.42
"Jun 1, 2008",1.929
"Jul 1, 2008",2.776
"Aug 1, 2008",3.06
"Sep 1, 2008",2.737
"Oct 1, 2008",1.574
"Nov 1, 2008",1.652
"Dec 1, 2008",0.972
"Jan 1, 2009",0.606
"Feb 1, 2009",0.195
"Mar 1, 2009",0.101
"Apr 1, 2009",0.048
"May 1, 2009",0.369
"Jun 1, 2009",1.225
"Jul 1, 2009",2.842
"Aug 1, 2009",2.96
"Sep 1, 2009",2.916
"Oct 1, 2009",1.955
"Nov 1, 2009",2.041
"Dec 1, 2009",1.389
"Jan 1, 2010",1.377
"Feb 1, 2010",0.675
"Mar 1, 2010",0.216
"Apr 1, 2010",0.088
"May 1, 2010",0.416
"Jun 1, 2010",1.893
"Jul 1, 2010",2.996
"Aug 1, 2010",3.159
"Sep 1, 2010",2.894
"Oct 1, 2010",2.455
"Nov 1, 2010",2.309
"Dec 1, 2010",1.362
"Jan 1, 2011",0.923
"Feb 1, 2011",0.661
"Mar 1, 2011",0.226
"Apr 1, 2011",0.389
"May 1, 2011",0.518
"Jun 1, 2011",1.65
"Jul 1, 2011",2.381
"Aug 1, 2011",2.962
"Sep 1, 2011",2.975
"Oct 1, 2011",2.138
"Nov 1, 2011",1.452
"Dec 1, 2011",0.699
"Jan 1, 2012",0.553
"Feb 1, 2012",0.257
"Mar 1, 2012",0.047
"Apr 1, 2012",0.119
"May 1, 2012",0.276
"Jun 1, 2012",0.935
"Jul 1, 2012",2.48
"Aug 1, 2012",2.96
"Sep 1, 2012",2.94
"Oct 1, 2012",1.982
"Nov 1, 2012",1.538
"Dec 1, 2012",1.104
"Jan 1, 2013",0.676
"Feb 1, 2013",0.38
"Mar 1, 2013",0.114
"Apr 1, 2013",0.129
"May 1, 2013",0.278
"Jun 1, 2013",1.67
"Jul 1, 2013",2.778
"Aug 1, 2013",3.07
"Sep 1, 2013",2.987
"Oct 1, 2013",2.383
"Nov 1, 2013",1.85
"Dec 1, 2013",1.017
"Jan 1, 2014",1.096
"Feb 1, 2014",0.663
"Mar 1, 2014",0.446
"Apr 1, 2014",0.225
"May 1, 2014",0.444
"Jun 1, 2014",1.179
"Jul 1, 2014",2.428
"Aug 1, 2014",2.783
"Sep 1, 2014",2.729
"Oct 1, 2014",1.913
"Nov 1, 2014",1.498
"Dec 1, 2014",1.025
