system:time_start,aet
"Dec 1, 1975",0.493
"Jan 1, 1976",0.222
"Feb 1, 1976",0.131
"Mar 1, 1976",0.382
"Apr 1, 1976",0.463
"May 1, 1976",0.399
"Jun 1, 1976",4.404
"Jul 1, 1976",3.621
"Aug 1, 1976",3.298
"Sep 1, 1976",2.488
"Oct 1, 1976",0.765
"Nov 1, 1976",1.719
"Dec 1, 1976",0.221
"Jan 1, 1977",0.065
"Feb 1, 1977",0.104
"Mar 1, 1977",0.448
"Apr 1, 1977",0.465
"May 1, 1977",1.333
"Jun 1, 1977",3.876
"Jul 1, 1977",3.188
"Aug 1, 1977",1.921
"Sep 1, 1977",2.692
"Oct 1, 1977",2.82
"Nov 1, 1977",3.351
"Dec 1, 1977",0.493
"Jan 1, 1978",0.17
"Feb 1, 1978",0.376
"Mar 1, 1978",0.394
"Apr 1, 1978",1.182
"May 1, 1978",2.548
"Jun 1, 1978",3.849
"Jul 1, 1978",3.138
"Aug 1, 1978",2.72
"Sep 1, 1978",3.626
"Oct 1, 1978",2.06
"Nov 1, 1978",2.094
"Dec 1, 1978",0.275
"Jan 1, 1979",0.102
"Feb 1, 1979",0.16
"Mar 1, 1979",0.255
"Apr 1, 1979",0.104
"May 1, 1979",0.772
"Jun 1, 1979",2.427
"Jul 1, 1979",3.758
"Aug 1, 1979",3.303
"Sep 1, 1979",4.173
"Oct 1, 1979",2.394
"Nov 1, 1979",3.413
"Dec 1, 1979",0.627
"Jan 1, 1980",0.289
"Feb 1, 1980",0.147
"Mar 1, 1980",0.432
"Apr 1, 1980",1.044
"May 1, 1980",0.262
"Jun 1, 1980",3.537
"Jul 1, 1980",3.083
"Aug 1, 1980",3.527
"Sep 1, 1980",2.98
"Oct 1, 1980",0.919
"Nov 1, 1980",0.699
"Dec 1, 1980",0.554
"Jan 1, 1981",0.247
"Feb 1, 1981",0.064
"Mar 1, 1981",0.282
"Apr 1, 1981",0.41
"May 1, 1981",0.984
"Jun 1, 1981",3.903
"Jul 1, 1981",3.137
"Aug 1, 1981",2.664
"Sep 1, 1981",3.914
"Oct 1, 1981",3.443
"Nov 1, 1981",1.243
"Dec 1, 1981",0.362
"Jan 1, 1982",0.17
"Feb 1, 1982",0.114
"Mar 1, 1982",0.075
"Apr 1, 1982",0.707
"May 1, 1982",2.135
"Jun 1, 1982",2.482
"Jul 1, 1982",3.446
"Aug 1, 1982",2.162
"Sep 1, 1982",3.95
"Oct 1, 1982",1.94
"Nov 1, 1982",2.35
"Dec 1, 1982",0.26
"Jan 1, 1983",0.148
"Feb 1, 1983",0.072
"Mar 1, 1983",0.052
"Apr 1, 1983",0.045
"May 1, 1983",0.425
"Jun 1, 1983",3.65
"Jul 1, 1983",3.748
"Aug 1, 1983",3.371
"Sep 1, 1983",3.506
"Oct 1, 1983",3.307
"Nov 1, 1983",0.912
"Dec 1, 1983",0.729
"Jan 1, 1984",0.171
"Feb 1, 1984",0.33
"Mar 1, 1984",0.323
"Apr 1, 1984",0.31
"May 1, 1984",0.09
"Jun 1, 1984",2.067
"Jul 1, 1984",3.986
"Aug 1, 1984",2.258
"Sep 1, 1984",3.989
"Oct 1, 1984",3.9
"Nov 1, 1984",0.677
"Dec 1, 1984",0.256
"Jan 1, 1985",0.127
"Feb 1, 1985",0.073
"Mar 1, 1985",0.093
"Apr 1, 1985",0.387
"May 1, 1985",1.821
"Jun 1, 1985",1.969
"Jul 1, 1985",3.128
"Aug 1, 1985",2.407
"Sep 1, 1985",2.109
"Oct 1, 1985",3.906
"Nov 1, 1985",1.694
"Dec 1, 1985",0.26
"Jan 1, 1986",0.128
"Feb 1, 1986",0.107
"Mar 1, 1986",0.081
"Apr 1, 1986",0.209
"May 1, 1986",0.649
"Jun 1, 1986",4.161
"Jul 1, 1986",2.383
"Aug 1, 1986",2.74
"Sep 1, 1986",1.959
"Oct 1, 1986",0.807
"Nov 1, 1986",1.155
"Dec 1, 1986",0.92
"Jan 1, 1987",0.153
"Feb 1, 1987",0.125
"Mar 1, 1987",0.089
"Apr 1, 1987",0.094
"May 1, 1987",2.568
"Jun 1, 1987",1.977
"Jul 1, 1987",2.583
"Aug 1, 1987",3.656
"Sep 1, 1987",2.543
"Oct 1, 1987",3.257
"Nov 1, 1987",0.682
"Dec 1, 1987",1.617
"Jan 1, 1988",0.057
"Feb 1, 1988",0.097
"Mar 1, 1988",0.022
"Apr 1, 1988",0.989
"May 1, 1988",0.455
"Jun 1, 1988",3.583
"Jul 1, 1988",3.984
"Aug 1, 1988",2.874
"Sep 1, 1988",3.577
"Oct 1, 1988",3.843
"Nov 1, 1988",0.942
"Dec 1, 1988",0.468
"Jan 1, 1989",0.214
"Feb 1, 1989",0.104
"Mar 1, 1989",0.53
"Apr 1, 1989",0.629
"May 1, 1989",0.712
"Jun 1, 1989",4.107
"Jul 1, 1989",3.426
"Aug 1, 1989",2.557
"Sep 1, 1989",3.707
"Oct 1, 1989",1.849
"Nov 1, 1989",0.351
"Dec 1, 1989",0.218
"Jan 1, 1990",0.09
"Feb 1, 1990",0.091
"Mar 1, 1990",0.075
"Apr 1, 1990",0.137
"May 1, 1990",3.105
"Jun 1, 1990",3.03
"Jul 1, 1990",3.941
"Aug 1, 1990",3.235
"Sep 1, 1990",3.078
"Oct 1, 1990",3.475
"Nov 1, 1990",1.253
"Dec 1, 1990",0.244
"Jan 1, 1991",0.094
"Feb 1, 1991",0.063
"Mar 1, 1991",0.063
"Apr 1, 1991",1.089
"May 1, 1991",1.075
"Jun 1, 1991",4.359
"Jul 1, 1991",3.066
"Aug 1, 1991",2.401
"Sep 1, 1991",3.233
"Oct 1, 1991",0.539
"Nov 1, 1991",0.532
"Dec 1, 1991",0.134
"Jan 1, 1992",0.041
"Feb 1, 1992",0.029
"Mar 1, 1992",0.022
"Apr 1, 1992",0.133
"May 1, 1992",0.929
"Jun 1, 1992",2.247
"Jul 1, 1992",3.02
"Aug 1, 1992",3.635
"Sep 1, 1992",4.451
"Oct 1, 1992",2.592
"Nov 1, 1992",1.089
"Dec 1, 1992",0.186
"Jan 1, 1993",0.104
"Feb 1, 1993",0.077
"Mar 1, 1993",0.211
"Apr 1, 1993",0.117
"May 1, 1993",0.272
"Jun 1, 1993",3.036
"Jul 1, 1993",3.568
"Aug 1, 1993",2.4
"Sep 1, 1993",3.953
"Oct 1, 1993",3.776
"Nov 1, 1993",1.899
"Dec 1, 1993",1.544
"Jan 1, 1994",0.255
"Feb 1, 1994",0.143
"Mar 1, 1994",0.084
"Apr 1, 1994",1.232
"May 1, 1994",1.116
