,CWatM TWS
1997-02-28 00:00:00,1.034383363
1997-03-31 00:00:00,0.996272416
1997-04-30 00:00:00,0.970052274
1997-05-31 00:00:00,0.94437817
1997-06-30 00:00:00,1.054695522
1997-07-31 00:00:00,1.202693839
1997-08-31 00:00:00,1.218818121
1997-09-30 00:00:00,1.227332016
1997-10-31 00:00:00,1.207578771
1997-11-30 00:00:00,1.195713895
1997-12-31 00:00:00,1.146084812
1998-01-31 00:00:00,1.078947975
1998-02-28 00:00:00,1.027859153
1998-03-31 00:00:00,0.985848146
1998-04-30 00:00:00,0.952353984
1998-05-31 00:00:00,0.934269613
1998-06-30 00:00:00,1.012964374
1998-07-31 00:00:00,1.201326283
1998-08-31 00:00:00,1.283076876
1998-09-30 00:00:00,1.352796645
1998-10-31 00:00:00,1.316073728
1998-11-30 00:00:00,1.265519589
1998-12-31 00:00:00,1.189833093
1999-01-31 00:00:00,1.135471435
1999-02-28 00:00:00,1.083183151
1999-03-31 00:00:00,1.037068225
1999-04-30 00:00:00,0.99949214
1999-05-31 00:00:00,1.021337624
1999-06-30 00:00:00,1.157650336
1999-07-31 00:00:00,1.249281039
1999-08-31 00:00:00,1.188209908
1999-09-30 00:00:00,1.269884859
1999-10-31 00:00:00,1.246799678
1999-11-30 00:00:00,1.17476119
1999-12-31 00:00:00,1.112075012
2000-01-31 00:00:00,1.070022607
2000-02-29 00:00:00,1.027985402
2000-03-31 00:00:00,0.989932751
2000-04-30 00:00:00,0.958254278
2000-05-31 00:00:00,0.967901112
2000-06-30 00:00:00,1.054939617
2000-07-31 00:00:00,1.148961462
2000-08-31 00:00:00,1.240799064
2000-09-30 00:00:00,1.237191113
2000-10-31 00:00:00,1.191362216
2000-11-30 00:00:00,1.132513777
2000-12-31 00:00:00,1.083055203
2001-01-31 00:00:00,1.039084465
2001-02-28 00:00:00,1.001493358
2001-03-31 00:00:00,0.96943551
2001-04-30 00:00:00,0.943900532
2001-05-31 00:00:00,0.923823795
2001-06-30 00:00:00,0.956304561
2001-07-31 00:00:00,1.042270033
2001-08-31 00:00:00,1.096122758
2001-09-30 00:00:00,1.20448941
2001-10-31 00:00:00,1.201162302
2001-11-30 00:00:00,1.13452957
2001-12-31 00:00:00,1.077608585
2002-01-31 00:00:00,1.031387348
2002-02-28 00:00:00,0.993064584
2002-03-31 00:00:00,0.958308194
2002-04-30 00:00:00,0.930562862
2002-05-31 00:00:00,0.924343189
2002-06-30 00:00:00,1.033744873
2002-07-31 00:00:00,1.06024398
2002-08-31 00:00:00,1.160263937
2002-09-30 00:00:00,1.141763175
2002-10-31 00:00:00,1.109500037
2002-11-30 00:00:00,1.059412449
2002-12-31 00:00:00,1.016868905
2003-01-31 00:00:00,0.982396397
2003-02-28 00:00:00,0.952330648
2003-03-31 00:00:00,0.92745848
2003-04-30 00:00:00,0.906582758
2003-05-31 00:00:00,0.889136341
2003-06-30 00:00:00,0.979740684
2003-07-31 00:00:00,1.09457307
2003-08-31 00:00:00,1.152332919
2003-09-30 00:00:00,1.146951035
2003-10-31 00:00:00,1.098275709
2003-11-30 00:00:00,1.047238297
2003-12-31 00:00:00,1.003965241
2004-01-31 00:00:00,0.967924538
2004-02-29 00:00:00,0.93631518
2004-03-31 00:00:00,0.906911883
2004-04-30 00:00:00,0.88297568
2004-05-31 00:00:00,0.917626921
2004-06-30 00:00:00,0.991971433
2004-07-31 00:00:00,1.139764371
2004-08-31 00:00:00,1.183330699
2004-09-30 00:00:00,1.282248027
2004-10-31 00:00:00,1.185841565
2004-11-30 00:00:00,1.132567514
2004-12-31 00:00:00,1.079285416
2005-01-31 00:00:00,1.039959718
2005-02-28 00:00:00,0.999982743
2005-03-31 00:00:00,0.967374565
2005-04-30 00:00:00,0.946366603
2005-05-31 00:00:00,0.935682054
2005-06-30 00:00:00,1.066708643
2005-07-31 00:00:00,1.303665407
2005-08-31 00:00:00,1.280648626
2005-09-30 00:00:00,1.340816428
2005-10-31 00:00:00,1.299250156
2005-11-30 00:00:00,1.221868141
2005-12-31 00:00:00,1.155508652
2006-01-31 00:00:00,1.096145111
2006-02-28 00:00:00,1.048639025
2006-03-31 00:00:00,1.009222574
2006-04-30 00:00:00,0.974367205
2006-05-31 00:00:00,1.012137135
2006-06-30 00:00:00,1.080330374
2006-07-31 00:00:00,1.286336746
2006-08-31 00:00:00,1.272892945
2006-09-30 00:00:00,1.333146313
2006-10-31 00:00:00,1.262651522
2006-11-30 00:00:00,1.241577305
2006-12-31 00:00:00,1.170269849
2007-01-31 00:00:00,1.114625219
2007-02-28 00:00:00,1.066554854
2007-03-31 00:00:00,1.024925904
2007-04-30 00:00:00,0.991095464
2007-05-31 00:00:00,0.965293591
2007-06-30 00:00:00,1.129671551
2007-07-31 00:00:00,1.210337219
2007-08-31 00:00:00,1.291023989
2007-09-30 00:00:00,1.333444323
2007-10-31 00:00:00,1.23731781
2007-11-30 00:00:00,1.177058451
2007-12-31 00:00:00,1.118258831
2008-01-31 00:00:00,1.068689654
2008-02-29 00:00:00,1.026643508
2008-03-31 00:00:00,1.006799868
2008-04-30 00:00:00,0.966863039
2008-05-31 00:00:00,0.940477753
2008-06-30 00:00:00,0.984145742
2008-07-31 00:00:00,1.110139511
2008-08-31 00:00:00,1.19296564
2008-09-30 00:00:00,1.287232922
2008-10-31 00:00:00,1.219751581
2008-11-30 00:00:00,1.172442023
2008-12-31 00:00:00,1.114466602
2009-01-31 00:00:00,1.071055225
2009-02-28 00:00:00,1.02974646
2009-03-31 00:00:00,0.995952947
2009-04-30 00:00:00,0.965501474
2009-05-31 00:00:00,0.955762636
2009-06-30 00:00:00,0.999974071
2009-07-31 00:00:00,1.175246428
2009-08-31 00:00:00,1.247547699
2009-09-30 00:00:00,1.294030823
2009-10-31 00:00:00,1.252429323
2009-11-30 00:00:00,1.255192152
2009-12-31 00:00:00,1.179540347
2010-01-31 00:00:00,1.120662224
2010-02-28 00:00:00,1.067273726
2010-03-31 00:00:00,1.023470188
2010-04-30 00:00:00,0.986438175
2010-05-31 00:00:00,0.955574155
2010-06-30 00:00:00,1.106611316
2010-07-31 00:00:00,1.305614319
2010-08-31 00:00:00,1.402561187
2010-09-30 00:00:00,1.346548538
2010-10-31 00:00:00,1.338863403
2010-11-30 00:00:00,1.298592084
2010-12-31 00:00:00,1.223159786
2011-01-31 00:00:00,1.159706722
2011-02-28 00:00:00,1.105422226
2011-03-31 00:00:00,1.057942696
2011-04-30 00:00:00,1.023447299
2011-05-31 00:00:00,0.992597406
2011-06-30 00:00:00,1.056612514
2011-07-31 00:00:00,1.302152467
2011-08-31 00:00:00,1.344197987
2011-09-30 00:00:00,1.293124901
2011-10-31 00:00:00,1.286728281
2011-11-30 00:00:00,1.210761657
2011-12-31 00:00:00,1.146723481
2012-01-31 00:00:00,1.091448928
2012-02-29 00:00:00,1.044336075
2012-03-31 00:00:00,1.003812972
2012-04-30 00:00:00,0.971958447
2012-05-31 00:00:00,0.94288213
2012-06-30 00:00:00,0.955694146
2012-07-31 00:00:00,1.056948703
2012-08-31 00:00:00,1.150613527
2012-09-30 00:00:00,1.167718211
2012-10-31 00:00:00,1.169219616
2012-11-30 00:00:00,1.116357218
2012-12-31 00:00:00,1.064960907
2013-01-31 00:00:00,1.024636925
2013-02-28 00:00:00,0.988907465
2013-03-31 00:00:00,0.957193853
2013-04-30 00:00:00,0.933072924
2013-05-31 00:00:00,0.912941467
2013-06-30 00:00:00,1.090121339
2013-07-31 00:00:00,1.28775321
2013-08-31 00:00:00,1.223905035
2013-09-30 00:00:00,1.297609625
2013-10-31 00:00:00,1.24678877
2013-11-30 00:00:00,1.183463386
2013-12-31 00:00:00,1.126953159
2014-01-31 00:00:00,1.072642109
2014-02-28 00:00:00,1.036578605
2014-03-31 00:00:00,1.011286827
2014-04-30 00:00:00,0.974026724
2014-05-31 00:00:00,0.954199536
2014-06-30 00:00:00,0.935363032
2014-07-31 00:00:00,1.172428611
2014-08-31 00:00:00,1.321439876
2014-09-30 00:00:00,1.240231924
2014-10-31 00:00:00,1.182119882
2014-11-30 00:00:00,1.158213721
2014-12-31 00:00:00,1.11543708
2015-01-31 00:00:00,1.065315426
2015-02-28 00:00:00,1.024037597
2015-03-31 00:00:00,1.000888486
2015-04-30 00:00:00,0.967831907
2015-05-31 00:00:00,0.974649389
2015-06-30 00:00:00,1.064695801
2015-07-31 00:00:00,1.106327969
2015-08-31 00:00:00,1.113207414
2015-09-30 00:00:00,1.188060859
2015-10-31 00:00:00,1.162919919
2015-11-30 00:00:00,1.137902278
2015-12-31 00:00:00,1.074159698
2016-01-31 00:00:00,1.025981681
2016-02-29 00:00:00,0.986115398
2016-03-31 00:00:00,0.952816244
2016-04-30 00:00:00,0.924787298
2016-05-31 00:00:00,0.902358133
2016-06-30 00:00:00,0.957612479
2016-07-31 00:00:00,1.152333455
2016-08-31 00:00:00,1.185721216
2016-09-30 00:00:00,1.268591962
2016-10-31 00:00:00,1.204784201
2016-11-30 00:00:00,1.146604921
2016-12-31 00:00:00,1.093851784
