,CWatM TWS
1979-01-31 00:00:00,0.997241463
1979-02-28 00:00:00,0.967827079
1979-03-31 00:00:00,0.939020249
1979-04-30 00:00:00,0.91751909
1979-05-31 00:00:00,0.91054621
1979-06-30 00:00:00,0.983919083
1979-07-31 00:00:00,1.102561938
1979-08-31 00:00:00,1.138397441
1979-09-30 00:00:00,1.252515069
1979-10-31 00:00:00,1.168942618
1979-11-30 00:00:00,1.193190601
1979-12-31 00:00:00,1.111118036
1980-01-31 00:00:00,1.080259291
1980-02-29 00:00:00,1.026971471
1980-03-31 00:00:00,0.986114057
1980-04-30 00:00:00,0.956368133
1980-05-31 00:00:00,0.931038802
1980-06-30 00:00:00,1.091377041
1980-07-31 00:00:00,1.156845003
1980-08-31 00:00:00,1.243817343
1980-09-30 00:00:00,1.225598676
1980-10-31 00:00:00,1.14273097
1980-11-30 00:00:00,1.113458125
1980-12-31 00:00:00,1.064529852
1981-01-31 00:00:00,1.029323005
1981-02-28 00:00:00,0.988116884
1981-03-31 00:00:00,0.957105156
1981-04-30 00:00:00,0.932162442
1981-05-31 00:00:00,0.916601992
1981-06-30 00:00:00,1.011635623
1981-07-31 00:00:00,1.153530592
1981-08-31 00:00:00,1.138174001
1981-09-30 00:00:00,1.262833833
1981-10-31 00:00:00,1.2162182
1981-11-30 00:00:00,1.150177018
1981-12-31 00:00:00,1.088295279
1982-01-31 00:00:00,1.037587083
1982-02-28 00:00:00,0.99697725
1982-03-31 00:00:00,0.962638861
1982-04-30 00:00:00,0.935658628
1982-05-31 00:00:00,0.935992045
1982-06-30 00:00:00,0.981989931
1982-07-31 00:00:00,1.07658151
1982-08-31 00:00:00,1.106541128
1982-09-30 00:00:00,1.175201722
1982-10-31 00:00:00,1.123902245
1982-11-30 00:00:00,1.106072609
1982-12-31 00:00:00,1.047617762
1983-01-31 00:00:00,1.005077347
1983-02-28 00:00:00,0.968913076
1983-03-31 00:00:00,0.939071303
1983-04-30 00:00:00,0.915204305
1983-05-31 00:00:00,0.898188049
1983-06-30 00:00:00,0.96825876
1983-07-31 00:00:00,1.1412698
1983-08-31 00:00:00,1.19960108
1983-09-30 00:00:00,1.354502356
1983-10-31 00:00:00,1.246786892
1983-11-30 00:00:00,1.177562824
1983-12-31 00:00:00,1.117203413
1984-01-31 00:00:00,1.065074997
1984-02-29 00:00:00,1.023001759
1984-03-31 00:00:00,0.983908532
1984-04-30 00:00:00,0.95261149
1984-05-31 00:00:00,0.929443067
1984-06-30 00:00:00,0.9762411
1984-07-31 00:00:00,1.154044889
1984-08-31 00:00:00,1.117472721
1984-09-30 00:00:00,1.157214632
1984-10-31 00:00:00,1.162757904
1984-11-30 00:00:00,1.100303214
1984-12-31 00:00:00,1.048410667
1985-01-31 00:00:00,1.006657882
1985-02-28 00:00:00,0.970506039
1985-03-31 00:00:00,0.940730699
1985-04-30 00:00:00,0.916934336
1985-05-31 00:00:00,0.904790764
1985-06-30 00:00:00,1.016327605
1985-07-31 00:00:00,1.135972053
1985-08-31 00:00:00,1.114071312
1985-09-30 00:00:00,1.122534957
1985-10-31 00:00:00,1.121770485
1985-11-30 00:00:00,1.071569255
1985-12-31 00:00:00,1.019296349
1986-01-31 00:00:00,0.979913428
1986-02-28 00:00:00,0.946927931
1986-03-31 00:00:00,0.917133725
1986-04-30 00:00:00,0.894514917
1986-05-31 00:00:00,0.880605727
1986-06-30 00:00:00,1.044317746
1986-07-31 00:00:00,1.088254775
1986-08-31 00:00:00,1.110318693
1986-09-30 00:00:00,1.146884602
1986-10-31 00:00:00,1.068665065
1986-11-30 00:00:00,1.03355523
1986-12-31 00:00:00,1.008924385
1987-01-31 00:00:00,0.966709966
1987-02-28 00:00:00,0.934237515
1987-03-31 00:00:00,0.908809205
1987-04-30 00:00:00,0.889199198
1987-05-31 00:00:00,0.896504512
1987-06-30 00:00:00,0.956501625
1987-07-31 00:00:00,1.0538656
1987-08-31 00:00:00,1.167392572
1987-09-30 00:00:00,1.142119213
1987-10-31 00:00:00,1.149615868
1987-11-30 00:00:00,1.10343442
1987-12-31 00:00:00,1.073620901
1988-01-31 00:00:00,1.016670589
1988-02-29 00:00:00,0.973558206
1988-03-31 00:00:00,0.939918034
1988-04-30 00:00:00,0.918070136
1988-05-31 00:00:00,0.899349153
1988-06-30 00:00:00,0.956687602
1988-07-31 00:00:00,1.198197759
1988-08-31 00:00:00,1.226994038
1988-09-30 00:00:00,1.356019409
1988-10-31 00:00:00,1.227419371
1988-11-30 00:00:00,1.161858241
1988-12-31 00:00:00,1.105016922
1989-01-31 00:00:00,1.058130103
1989-02-28 00:00:00,1.016432217
1989-03-31 00:00:00,0.993165798
1989-04-30 00:00:00,0.959165475
1989-05-31 00:00:00,0.950728296
1989-06-30 00:00:00,1.019577014
1989-07-31 00:00:00,1.213438919
1989-08-31 00:00:00,1.218993458
1989-09-30 00:00:00,1.338499228
1989-10-31 00:00:00,1.210869667
1989-11-30 00:00:00,1.14529289
1989-12-31 00:00:00,1.087287696
1990-01-31 00:00:00,1.037840387
1990-02-28 00:00:00,0.998571555
1990-03-31 00:00:00,0.964718315
1990-04-30 00:00:00,0.936819195
1990-05-31 00:00:00,0.998074603
1990-06-30 00:00:00,1.10336754
1990-07-31 00:00:00,1.192577324
1990-08-31 00:00:00,1.261091909
1990-09-30 00:00:00,1.22524684
1990-10-31 00:00:00,1.284132831
1990-11-30 00:00:00,1.196373219
1990-12-31 00:00:00,1.127112849
1991-01-31 00:00:00,1.073123145
1991-02-28 00:00:00,1.028274918
1991-03-31 00:00:00,0.991826496
1991-04-30 00:00:00,0.96487416
1991-05-31 00:00:00,0.957516272
1991-06-30 00:00:00,1.164772445
1991-07-31 00:00:00,1.27995631
1991-08-31 00:00:00,1.22242482
1991-09-30 00:00:00,1.211020237
1991-10-31 00:00:00,1.138799437
1991-11-30 00:00:00,1.08826631
1991-12-31 00:00:00,1.038787975
1992-01-31 00:00:00,0.997931008
1992-02-29 00:00:00,0.964678884
1992-03-31 00:00:00,0.934770767
1992-04-30 00:00:00,0.912436915
1992-05-31 00:00:00,0.896379245
1992-06-30 00:00:00,0.964266606
1992-07-31 00:00:00,1.061280443
1992-08-31 00:00:00,1.160501862
1992-09-30 00:00:00,1.153568145
1992-10-31 00:00:00,1.099538205
1992-11-30 00:00:00,1.054266881
1992-12-31 00:00:00,1.009723907
1993-01-31 00:00:00,0.9780474
1993-02-28 00:00:00,0.946598716
1993-03-31 00:00:00,0.921489249
1993-04-30 00:00:00,0.900236477
1993-05-31 00:00:00,0.894541562
1993-06-30 00:00:00,0.967119741
1993-07-31 00:00:00,1.157587659
1993-08-31 00:00:00,1.18173407
1993-09-30 00:00:00,1.237423495
1993-10-31 00:00:00,1.276964318
1993-11-30 00:00:00,1.194750482
1993-12-31 00:00:00,1.160707152
1994-01-31 00:00:00,1.092824799
1994-02-28 00:00:00,1.039894537
1994-03-31 00:00:00,0.995886782
1994-04-30 00:00:00,0.968590657
1994-05-31 00:00:00,0.963606656
1994-06-30 00:00:00,1.094243945
1994-07-31 00:00:00,1.210768989
1994-08-31 00:00:00,1.22168887
1994-09-30 00:00:00,1.167494413
1994-10-31 00:00:00,1.161172362
1994-11-30 00:00:00,1.104231081
1994-12-31 00:00:00,1.052463174
1995-01-31 00:00:00,1.023776156
1995-02-28 00:00:00,0.984553371
1995-03-31 00:00:00,0.95432507
1995-04-30 00:00:00,0.92901693
1995-05-31 00:00:00,0.923136217
1995-06-30 00:00:00,0.950079255
1995-07-31 00:00:00,1.111392173
1995-08-31 00:00:00,1.111108647
1995-09-30 00:00:00,1.165037998
1995-10-31 00:00:00,1.181959924
1995-11-30 00:00:00,1.116416051
1995-12-31 00:00:00,1.059066425
1996-01-31 00:00:00,1.012525898
1996-02-29 00:00:00,0.973613283
1996-03-31 00:00:00,0.941321981
1996-04-30 00:00:00,0.919381899
1996-05-31 00:00:00,0.901325782
1996-06-30 00:00:00,0.98844905
1996-07-31 00:00:00,1.180059741
1996-08-31 00:00:00,1.216286153
1996-09-30 00:00:00,1.269899433
1996-10-31 00:00:00,1.271775027
1996-11-30 00:00:00,1.19635945
1996-12-31 00:00:00,1.130890951
1997-01-31 00:00:00,1.079453421
